town,year,month,tmean_c,grid_lat,grid_lon
muaradua,2008,2,24.13,-4.75,104.25
liwa,2008,2,24.11,-5.25,104.25
kepahiang,2008,2,22.91,-3.75,102.75
pagar_alam,2008,3,21.87,-4.25,103.25
lahat,2008,3,26.22,-3.75,103.75
muaradua,2008,3,24.53,-4.75,104.25
liwa,2008,3,24.6,-5.25,104.25
kepahiang,2008,3,22.84,-3.75,102.75
pagar_alam,2008,4,22.12,-4.25,103.25
lahat,2008,4,26.53,-3.75,103.75
muaradua,2008,4,24.68,-4.75,104.25
liwa,2008,4,24.65,-5.25,104.25
kepahiang,2008,4,23.31,-3.75,102.75
pagar_alam,2008,5,22.03,-4.25,103.25
lahat,2008,5,26.58,-3.75,103.75
muaradua,2008,5,24.91,-4.75,104.25
liwa,2008,5,24.94,-5.25,104.25
kepahiang,2008,5,23.18,-3.75,102.75
pagar_alam,2008,6,22.15,-4.25,103.25
lahat,2008,6,26.5,-3.75,103.75
muaradua,2008,6,24.71,-4.75,104.25
liwa,2008,6,24.7,-5.25,104.25
kepahiang,2008,6,23.07,-3.75,102.75
pagar_alam,2008,7,21.71,-4.25,103.25
lahat,2008,7,25.86,-3.75,103.75
muaradua,2008,7,24.12,-4.75,104.25
liwa,2008,7,24.14,-5.25,104.25
kepahiang,2008,7,22.55,-3.75,102.75
pagar_alam,2008,8,21.77,-4.25,103.25
lahat,2008,8,25.79,-3.75,103.75
muaradua,2008,8,24.08,-4.75,104.25
liwa,2008,8,24.12,-5.25,104.25
kepahiang,2008,8,22.36,-3.75,102.75
pagar_alam,2008,9,21.91,-4.25,103.25
lahat,2008,9,26.22,-3.75,103.75
muaradua,2008,9,24.7,-4.75,104.25
liwa,2008,9,24.78,-5.25,104.25
kepahiang,2008,9,22.77,-3.75,102.75
pagar_alam,2008,10,21.55,-4.25,103.25
lahat,2008,10,26.12,-3.75,103.75
muaradua,2008,10,24.47,-4.75,104.25
liwa,2008,10,24.52,-5.25,104.25
kepahiang,2008,10,22.55,-3.75,102.75
pagar_alam,2008,11,22.02,-4.25,103.25
lahat,2008,11,26.46,-3.75,103.75
muaradua,2008,11,24.8,-4.75,104.25
liwa,2008,11,24.84,-5.25,104.25
kepahiang,2008,11,22.91,-3.75,102.75
pagar_alam,2008,12,21.59,-4.25,103.25
lahat,2008,12,26.01,-3.75,103.75
muaradua,2008,12,24.43,-4.75,104.25
liwa,2008,12,24.5,-5.25,104.25
kepahiang,2008,12,22.53,-3.75,102.75
pagar_alam,2009,1,21.65,-4.25,103.25
lahat,2009,1,25.95,-3.75,103.75
muaradua,2009,1,24.22,-4.75,104.25
liwa,2009,1,24.26,-5.25,104.25
kepahiang,2009,1,22.8,-3.75,102.75
pagar_alam,2009,2,21.62,-4.25,103.25
lahat,2009,2,25.98,-3.75,103.75
muaradua,2009,2,24.11,-4.75,104.25
liwa,2009,2,24.15,-5.25,104.25
kepahiang,2009,2,22.79,-3.75,102.75
pagar_alam,2009,3,22.1,-4.25,103.25
lahat,2009,3,26.44,-3.75,103.75
muaradua,2009,3,24.8,-4.75,104.25
liwa,2009,3,24.88,-5.25,104.25
kepahiang,2009,3,23.1,-3.75,102.75
pagar_alam,2009,4,23.02,-4.25,103.25
lahat,2009,4,27.4,-3.75,103.75
muaradua,2009,4,25.38,-4.75,104.25
liwa,2009,4,25.3,-5.25,104.25
kepahiang,2009,4,24.34,-3.75,102.75
pagar_alam,2009,5,22.41,-4.25,103.25
lahat,2009,5,26.97,-3.75,103.75
muaradua,2009,5,25.23,-4.75,104.25
liwa,2009,5,25.22,-5.25,104.25
kepahiang,2009,5,23.55,-3.75,102.75
pagar_alam,2009,6,22.5,-4.25,103.25
lahat,2009,6,26.87,-3.75,103.75
muaradua,2009,6,25.26,-4.75,104.25
liwa,2009,6,25.31,-5.25,104.25
kepahiang,2009,6,23.41,-3.75,102.75
pagar_alam,2009,7,22.06,-4.25,103.25
lahat,2009,7,26.24,-3.75,103.75
muaradua,2009,7,24.6,-4.75,104.25
liwa,2009,7,24.64,-5.25,104.25
kepahiang,2009,7,22.87,-3.75,102.75
pagar_alam,2009,8,22.28,-4.25,103.25
lahat,2009,8,26.42,-3.75,103.75
muaradua,2009,8,24.73,-4.75,104.25
liwa,2009,8,24.74,-5.25,104.25
kepahiang,2009,8,22.83,-3.75,102.75
pagar_alam,2009,9,22.94,-4.25,103.25
lahat,2009,9,27.31,-3.75,103.75
muaradua,2009,9,25.44,-4.75,104.25
liwa,2009,9,25.4,-5.25,104.25
kepahiang,2009,9,23.97,-3.75,102.75
pagar_alam,2009,10,22.26,-4.25,103.25
lahat,2009,10,26.92,-3.75,103.75
muaradua,2009,10,25.2,-4.75,104.25
liwa,2009,10,25.21,-5.25,104.25
kepahiang,2009,10,23.17,-3.75,102.75
pagar_alam,2009,11,22.26,-4.25,103.25
lahat,2009,11,26.66,-3.75,103.75
muaradua,2009,11,25.05,-4.75,104.25
liwa,2009,11,25.12,-5.25,104.25
kepahiang,2009,11,23.12,-3.75,102.75
pagar_alam,2009,12,22.35,-4.25,103.25
lahat,2009,12,26.69,-3.75,103.75
muaradua,2009,12,25.05,-4.75,104.25
liwa,2009,12,25.11,-5.25,104.25
kepahiang,2009,12,23.28,-3.75,102.75
pagar_alam,2010,1,22.12,-4.25,103.25
lahat,2010,1,26.43,-3.75,103.75
muaradua,2010,1,24.62,-4.75,104.25
liwa,2010,1,24.64,-5.25,104.25
kepahiang,2010,1,23.32,-3.75,102.75
pagar_alam,2010,2,22.4,-4.25,103.25
lahat,2010,2,26.76,-3.75,103.75
muaradua,2010,2,24.92,-4.75,104.25
liwa,2010,2,24.97,-5.25,104.25
kepahiang,2010,2,23.6,-3.75,102.75
pagar_alam,2010,3,22.56,-4.25,103.25
lahat,2010,3,26.9,-3.75,103.75
muaradua,2010,3,25.16,-4.75,104.25
liwa,2010,3,25.21,-5.25,104.25
kepahiang,2010,3,23.61,-3.75,102.75
pagar_alam,2010,4,23.11,-4.25,103.25
lahat,2010,4,27.51,-3.75,103.75
muaradua,2010,4,25.9,-4.75,104.25
liwa,2010,4,25.96,-5.25,104.25
kepahiang,2010,4,24.27,-3.75,102.75
pagar_alam,2010,5,22.97,-4.25,103.25
lahat,2010,5,27.47,-3.75,103.75
muaradua,2010,5,25.62,-4.75,104.25
liwa,2010,5,25.59,-5.25,104.25
kepahiang,2010,5,24.22,-3.75,102.75
pagar_alam,2010,6,22.45,-4.25,103.25
lahat,2010,6,26.67,-3.75,103.75
muaradua,2010,6,24.8,-4.75,104.25
liwa,2010,6,24.78,-5.25,104.25
kepahiang,2010,6,23.49,-3.75,102.75
pagar_alam,2010,7,21.84,-4.25,103.25
lahat,2010,7,26.0,-3.75,103.75
muaradua,2010,7,24.14,-4.75,104.25
liwa,2010,7,24.12,-5.25,104.25
kepahiang,2010,7,22.78,-3.75,102.75
pagar_alam,2010,8,22.35,-4.25,103.25
lahat,2010,8,26.32,-3.75,103.75
muaradua,2010,8,24.67,-4.75,104.25
liwa,2010,8,24.74,-5.25,104.25
kepahiang,2010,8,22.94,-3.75,102.75
pagar_alam,2010,9,21.9,-4.25,103.25
lahat,2010,9,26.19,-3.75,103.75
muaradua,2010,9,24.26,-4.75,104.25
liwa,2010,9,24.21,-5.25,104.25
kepahiang,2010,9,22.87,-3.75,102.75
pagar_alam,2010,10,21.96,-4.25,103.25
lahat,2010,10,26.52,-3.75,103.75
muaradua,2010,10,24.85,-4.75,104.25
liwa,2010,10,24.89,-5.25,104.25
kepahiang,2010,10,22.86,-3.75,102.75
pagar_alam,2010,11,22.01,-4.25,103.25
lahat,2010,11,26.4,-3.75,103.75
muaradua,2010,11,24.65,-4.75,104.25
liwa,2010,11,24.68,-5.25,104.25
kepahiang,2010,11,22.98,-3.75,102.75
pagar_alam,2010,12,21.91,-4.25,103.25
lahat,2010,12,26.25,-3.75,103.75
muaradua,2010,12,24.45,-4.75,104.25
liwa,2010,12,24.46,-5.25,104.25
kepahiang,2010,12,22.91,-3.75,102.75
pagar_alam,2011,1,21.771,-4.25,103.25
lahat,2011,1,25.99,-3.75,103.75
muaradua,2011,1,24.271,-4.75,104.25
liwa,2011,1,24.302,-5.25,104.25
kepahiang,2011,1,22.958,-3.75,102.75
pagar_alam,2011,2,21.844,-4.25,103.25
lahat,2011,2,26.219,-3.75,103.75
muaradua,2011,2,24.437,-4.75,104.25
liwa,2011,2,24.5,-5.25,104.25
kepahiang,2011,2,22.937,-3.75,102.75
pagar_alam,2011,3,21.833,-4.25,103.25
lahat,2011,3,26.177,-3.75,103.75
muaradua,2011,3,24.333,-4.75,104.25
liwa,2011,3,24.364,-5.25,104.25
kepahiang,2011,3,22.958,-3.75,102.75
pagar_alam,2011,4,22.144,-4.25,103.25
lahat,2011,4,26.519,-3.75,103.75
muaradua,2011,4,24.706,-4.75,104.25
liwa,2011,4,24.675,-5.25,104.25
kepahiang,2011,4,23.331,-3.75,102.75
pagar_alam,2011,5,22.85,-4.25,103.25
lahat,2011,5,27.225,-3.75,103.75
muaradua,2011,5,25.163,-4.75,104.25
liwa,2011,5,25.1,-5.25,104.25
kepahiang,2011,5,24.288,-3.75,102.75
pagar_alam,2011,6,22.433,-4.25,103.25
lahat,2011,6,26.745,-3.75,103.75
muaradua,2011,6,25.058,-4.75,104.25
liwa,2011,6,25.089,-5.25,104.25
kepahiang,2011,6,23.402,-3.75,102.75
pagar_alam,2011,7,21.966,-4.25,103.25
lahat,2011,7,26.123,-3.75,103.75
muaradua,2011,7,24.248,-4.75,104.25
liwa,2011,7,24.248,-5.25,104.25
kepahiang,2011,7,22.873,-3.75,102.75
pagar_alam,2011,8,22.262,-4.25,103.25
lahat,2011,8,26.324,-3.75,103.75
muaradua,2011,8,24.512,-4.75,104.25
liwa,2011,8,24.512,-5.25,104.25
kepahiang,2011,8,22.887,-3.75,102.75
pagar_alam,2011,9,22.391,-4.25,103.25
lahat,2011,9,26.766,-3.75,103.75
muaradua,2011,9,24.86,-4.75,104.25
liwa,2011,9,24.798,-5.25,104.25
kepahiang,2011,9,23.423,-3.75,102.75
pagar_alam,2011,10,22.169,-4.25,103.25
lahat,2011,10,26.638,-3.75,103.75
muaradua,2011,10,25.044,-4.75,104.25
liwa,2011,10,25.107,-5.25,104.25
kepahiang,2011,10,23.138,-3.75,102.75
pagar_alam,2011,11,22.034,-4.25,103.25
lahat,2011,11,26.44,-3.75,103.75
muaradua,2011,11,24.815,-4.75,104.25
liwa,2011,11,24.846,-5.25,104.25
kepahiang,2011,11,22.94,-3.75,102.75
pagar_alam,2011,12,22.558,-4.25,103.25
lahat,2011,12,26.714,-3.75,103.75
muaradua,2011,12,24.964,-4.75,104.25
liwa,2011,12,25.058,-5.25,104.25
kepahiang,2011,12,23.746,-3.75,102.75
pagar_alam,2012,1,22.218,-4.25,103.25
lahat,2012,1,26.531,-3.75,103.75
muaradua,2012,1,24.781,-4.75,104.25
liwa,2012,1,24.812,-5.25,104.25
kepahiang,2012,1,23.437,-3.75,102.75
pagar_alam,2012,2,22.388,-4.25,103.25
lahat,2012,2,26.607,-3.75,103.75
muaradua,2012,2,24.638,-4.75,104.25
