town,date,precip_mm,grid_lat,grid_lon
muaradua,2005-02-05,36.298,-4.75,104.25
liwa,2005-02-05,55.128,-5.25,104.25
kepahiang,2005-02-05,0.065,-3.75,102.75
pagar_alam,2005-02-06,1.44,-4.25,103.25
lahat,2005-02-06,4.077,-3.75,103.75
muaradua,2005-02-06,7.26,-4.75,104.25
liwa,2005-02-06,7.724,-5.25,104.25
kepahiang,2005-02-06,0.267,-3.75,102.75
pagar_alam,2005-02-07,0.35,-4.25,103.25
lahat,2005-02-07,1.138,-3.75,103.75
muaradua,2005-02-07,2.665,-4.75,104.25
liwa,2005-02-07,1.215,-5.25,104.25
kepahiang,2005-02-07,0.03,-3.75,102.75
pagar_alam,2005-02-08,0.0,-4.25,103.25
lahat,2005-02-08,0.0,-3.75,103.75
muaradua,2005-02-08,0.0,-4.75,104.25
liwa,2005-02-08,0.0,-5.25,104.25
kepahiang,2005-02-08,0.0,-3.75,102.75
pagar_alam,2005-02-09,0.859,-4.25,103.25
lahat,2005-02-09,1.04,-3.75,103.75
muaradua,2005-02-09,13.794,-4.75,104.25
liwa,2005-02-09,21.641,-5.25,104.25
kepahiang,2005-02-09,0.227,-3.75,102.75
pagar_alam,2005-02-10,0.107,-4.25,103.25
lahat,2005-02-10,0.253,-3.75,103.75
muaradua,2005-02-10,2.921,-4.75,104.25
liwa,2005-02-10,3.999,-5.25,104.25
kepahiang,2005-02-10,0.056,-3.75,102.75
pagar_alam,2005-02-11,21.974,-4.25,103.25
lahat,2005-02-11,14.908,-3.75,103.75
muaradua,2005-02-11,3.241,-4.75,104.25
liwa,2005-02-11,2.602,-5.25,104.25
kepahiang,2005-02-11,22.798,-3.75,102.75
pagar_alam,2005-02-12,32.483,-4.25,103.25
lahat,2005-02-12,27.102,-3.75,103.75
muaradua,2005-02-12,22.818,-4.75,104.25
liwa,2005-02-12,32.035,-5.25,104.25
kepahiang,2005-02-12,33.404,-3.75,102.75
pagar_alam,2005-02-13,2.661,-4.25,103.25
lahat,2005-02-13,4.765,-3.75,103.75
muaradua,2005-02-13,18.448,-4.75,104.25
liwa,2005-02-13,20.673,-5.25,104.25
kepahiang,2005-02-13,0.323,-3.75,102.75
pagar_alam,2005-02-14,0.0,-4.25,103.25
lahat,2005-02-14,0.0,-3.75,103.75
muaradua,2005-02-14,0.033,-4.75,104.25
liwa,2005-02-14,0.138,-5.25,104.25
kepahiang,2005-02-14,0.0,-3.75,102.75
pagar_alam,2005-02-15,18.002,-4.25,103.25
lahat,2005-02-15,12.146,-3.75,103.75
muaradua,2005-02-15,2.757,-4.75,104.25
liwa,2005-02-15,2.398,-5.25,104.25
kepahiang,2005-02-15,18.684,-3.75,102.75
pagar_alam,2005-02-16,59.144,-4.25,103.25
lahat,2005-02-16,42.632,-3.75,103.75
muaradua,2005-02-16,6.761,-4.75,104.25
liwa,2005-02-16,5.286,-5.25,104.25
kepahiang,2005-02-16,61.245,-3.75,102.75
pagar_alam,2005-02-17,11.057,-4.25,103.25
lahat,2005-02-17,9.22,-3.75,103.75
muaradua,2005-02-17,0.988,-4.75,104.25
liwa,2005-02-17,0.55,-5.25,104.25
kepahiang,2005-02-17,11.481,-3.75,102.75
pagar_alam,2005-02-18,0.0,-4.25,103.25
lahat,2005-02-18,0.038,-3.75,103.75
muaradua,2005-02-18,0.076,-4.75,104.25
liwa,2005-02-18,0.355,-5.25,104.25
kepahiang,2005-02-18,0.0,-3.75,102.75
pagar_alam,2005-02-19,16.298,-4.25,103.25
lahat,2005-02-19,16.778,-3.75,103.75
muaradua,2005-02-19,5.685,-4.75,104.25
liwa,2005-02-19,6.959,-5.25,104.25
kepahiang,2005-02-19,16.737,-3.75,102.75
pagar_alam,2005-02-20,0.203,-4.25,103.25
lahat,2005-02-20,0.278,-3.75,103.75
muaradua,2005-02-20,1.077,-4.75,104.25
liwa,2005-02-20,1.285,-5.25,104.25
kepahiang,2005-02-20,0.052,-3.75,102.75
pagar_alam,2005-02-21,0.025,-4.25,103.25
lahat,2005-02-21,0.0,-3.75,103.75
muaradua,2005-02-21,0.0,-4.75,104.25
liwa,2005-02-21,0.923,-5.25,104.25
kepahiang,2005-02-21,0.273,-3.75,102.75
pagar_alam,2005-02-22,7.954,-4.25,103.25
lahat,2005-02-22,6.265,-3.75,103.75
muaradua,2005-02-22,26.496,-4.75,104.25
liwa,2005-02-22,29.677,-5.25,104.25
kepahiang,2005-02-22,6.297,-3.75,102.75
pagar_alam,2005-02-23,0.725,-4.25,103.25
lahat,2005-02-23,0.808,-3.75,103.75
muaradua,2005-02-23,8.63,-4.75,104.25
liwa,2005-02-23,10.054,-5.25,104.25
kepahiang,2005-02-23,0.126,-3.75,102.75
pagar_alam,2005-02-24,0.88,-4.25,103.25
lahat,2005-02-24,0.507,-3.75,103.75
muaradua,2005-02-24,0.083,-4.75,104.25
liwa,2005-02-24,0.308,-5.25,104.25
kepahiang,2005-02-24,1.026,-3.75,102.75
pagar_alam,2005-02-25,1.006,-4.25,103.25
lahat,2005-02-25,12.942,-3.75,103.75
muaradua,2005-02-25,2.129,-4.75,104.25
liwa,2005-02-25,1.64,-5.25,104.25
kepahiang,2005-02-25,0.195,-3.75,102.75
pagar_alam,2005-02-26,0.95,-4.25,103.25
lahat,2005-02-26,9.569,-3.75,103.75
muaradua,2005-02-26,1.84,-4.75,104.25
liwa,2005-02-26,1.281,-5.25,104.25
kepahiang,2005-02-26,0.389,-3.75,102.75
pagar_alam,2005-02-27,35.078,-4.25,103.25
lahat,2005-02-27,27.165,-3.75,103.75
muaradua,2005-02-27,11.668,-4.75,104.25
liwa,2005-02-27,8.485,-5.25,104.25
kepahiang,2005-02-27,39.001,-3.75,102.75
pagar_alam,2005-02-28,2.882,-4.25,103.25
lahat,2005-02-28,4.373,-3.75,103.75
muaradua,2005-02-28,33.53,-4.75,104.25
liwa,2005-02-28,38.443,-5.25,104.25
kepahiang,2005-02-28,0.078,-3.75,102.75
pagar_alam,2005-03-01,0.161,-4.25,103.25
lahat,2005-03-01,0.162,-3.75,103.75
muaradua,2005-03-01,0.824,-4.75,104.25
liwa,2005-03-01,0.943,-5.25,104.25
kepahiang,2005-03-01,0.094,-3.75,102.75
pagar_alam,2005-03-02,0.0,-4.25,103.25
lahat,2005-03-02,0.128,-3.75,103.75
muaradua,2005-03-02,0.645,-4.75,104.25
liwa,2005-03-02,0.745,-5.25,104.25
kepahiang,2005-03-02,0.074,-3.75,102.75
pagar_alam,2005-03-03,1.071,-4.25,103.25
lahat,2005-03-03,9.21,-3.75,103.75
muaradua,2005-03-03,2.569,-4.75,104.25
