town,date,tmin_c,grid_lat,grid_lon
liwa,2005-02-28,21.358,-5.25,104.25
kepahiang,2005-02-28,20.196,-3.75,102.75
pagar_alam,2005-03-01,18.908,-4.25,103.25
lahat,2005-03-01,23.125,-3.75,103.75
muaradua,2005-03-01,19.509,-4.75,104.25
liwa,2005-03-01,19.735,-5.25,104.25
kepahiang,2005-03-01,21.928,-3.75,102.75
pagar_alam,2005-03-02,17.87,-4.25,103.25
lahat,2005-03-02,22.602,-3.75,103.75
muaradua,2005-03-02,19.105,-4.75,104.25
liwa,2005-03-02,19.328,-5.25,104.25
kepahiang,2005-03-02,20.789,-3.75,102.75
pagar_alam,2005-03-03,17.227,-4.25,103.25
lahat,2005-03-03,22.474,-3.75,103.75
muaradua,2005-03-03,19.385,-4.75,104.25
liwa,2005-03-03,19.666,-5.25,104.25
kepahiang,2005-03-03,19.755,-3.75,102.75
pagar_alam,2005-03-04,16.48,-4.25,103.25
lahat,2005-03-04,21.59,-3.75,103.75
muaradua,2005-03-04,19.287,-4.75,104.25
liwa,2005-03-04,19.792,-5.25,104.25
kepahiang,2005-03-04,18.989,-3.75,102.75
pagar_alam,2005-03-05,16.827,-4.25,103.25
lahat,2005-03-05,21.864,-3.75,103.75
muaradua,2005-03-05,18.987,-4.75,104.25
liwa,2005-03-05,19.478,-5.25,104.25
kepahiang,2005-03-05,19.61,-3.75,102.75
pagar_alam,2005-03-06,16.192,-4.25,103.25
lahat,2005-03-06,21.439,-3.75,103.75
muaradua,2005-03-06,18.905,-4.75,104.25
liwa,2005-03-06,19.314,-5.25,104.25
kepahiang,2005-03-06,18.861,-3.75,102.75
pagar_alam,2005-03-07,20.669,-4.25,103.25
lahat,2005-03-07,23.756,-3.75,103.75
muaradua,2005-03-07,19.857,-4.75,104.25
liwa,2005-03-07,20.013,-5.25,104.25
kepahiang,2005-03-07,23.753,-3.75,102.75
pagar_alam,2005-03-08,16.533,-4.25,103.25
lahat,2005-03-08,21.694,-3.75,103.75
muaradua,2005-03-08,19.689,-4.75,104.25
liwa,2005-03-08,20.256,-5.25,104.25
kepahiang,2005-03-08,19.094,-3.75,102.75
pagar_alam,2005-03-09,18.153,-4.25,103.25
lahat,2005-03-09,22.674,-3.75,103.75
muaradua,2005-03-09,20.052,-4.75,104.25
liwa,2005-03-09,20.517,-5.25,104.25
kepahiang,2005-03-09,20.901,-3.75,102.75
pagar_alam,2005-03-10,16.721,-4.25,103.25
lahat,2005-03-10,22.066,-3.75,103.75
muaradua,2005-03-10,18.575,-4.75,104.25
liwa,2005-03-10,18.824,-5.25,104.25
kepahiang,2005-03-10,19.475,-3.75,102.75
pagar_alam,2005-03-11,16.575,-4.25,103.25
lahat,2005-03-11,21.065,-3.75,103.75
muaradua,2005-03-11,18.448,-4.75,104.25
liwa,2005-03-11,18.931,-5.25,104.25
kepahiang,2005-03-11,19.449,-3.75,102.75
pagar_alam,2005-03-12,16.703,-4.25,103.25
lahat,2005-03-12,21.55,-3.75,103.75
muaradua,2005-03-12,18.701,-4.75,104.25
liwa,2005-03-12,19.166,-5.25,104.25
kepahiang,2005-03-12,19.503,-3.75,102.75
pagar_alam,2005-03-13,17.184,-4.25,103.25
lahat,2005-03-13,22.374,-3.75,103.75
muaradua,2005-03-13,19.04,-4.75,104.25
liwa,2005-03-13,19.315,-5.25,104.25
kepahiang,2005-03-13,20.08,-3.75,102.75
pagar_alam,2005-03-14,16.763,-4.25,103.25
lahat,2005-03-14,21.933,-3.75,103.75
muaradua,2005-03-14,19.458,-4.75,104.25
liwa,2005-03-14,19.905,-5.25,104.25
kepahiang,2005-03-14,19.462,-3.75,102.75
pagar_alam,2005-03-15,16.703,-4.25,103.25
lahat,2005-03-15,21.918,-3.75,103.75
muaradua,2005-03-15,18.762,-4.75,104.25
liwa,2005-03-15,19.016,-5.25,104.25
kepahiang,2005-03-15,19.438,-3.75,102.75
pagar_alam,2005-03-16,16.924,-4.25,103.25
lahat,2005-03-16,22.1,-3.75,103.75
muaradua,2005-03-16,19.163,-4.75,104.25
liwa,2005-03-16,19.521,-5.25,104.25
kepahiang,2005-03-16,19.643,-3.75,102.75
pagar_alam,2005-03-17,17.415,-4.25,103.25
lahat,2005-03-17,22.604,-3.75,103.75
muaradua,2005-03-17,19.157,-4.75,104.25
liwa,2005-03-17,19.349,-5.25,104.25
kepahiang,2005-03-17,19.943,-3.75,102.75
pagar_alam,2005-03-18,16.958,-4.25,103.25
lahat,2005-03-18,21.695,-3.75,103.75
muaradua,2005-03-18,19.126,-4.75,104.25
liwa,2005-03-18,19.596,-5.25,104.25
kepahiang,2005-03-18,19.597,-3.75,102.75
pagar_alam,2005-03-19,18.72,-4.25,103.25
lahat,2005-03-19,22.709,-3.75,103.75
muaradua,2005-03-19,20.02,-4.75,104.25
liwa,2005-03-19,20.548,-5.25,104.25
kepahiang,2005-03-19,21.697,-3.75,102.75
pagar_alam,2005-03-20,16.333,-4.25,103.25
lahat,2005-03-20,22.285,-3.75,103.75
muaradua,2005-03-20,19.742,-4.75,104.25
