export_month,total,arabicas,colombian_milds,other_milds,brazilian_naturals,robustas,cy,rob_share,rob_share_12m
2020-10,9672.0,6329.0,1156.0,1430.0,3743.0,3343.0,2020,34.56368899917287,38.514458392940384
2020-11,10149.0,6840.0,1325.0,1304.0,4212.0,3308.0,2020,32.594344270371465,38.07417814889914
2020-12,10970.0,7031.0,1460.0,1445.0,4126.0,3939.0,2020,35.907019143117594,37.61711926314118
2021-01,10205.0,5983.0,1181.0,1695.0,3107.0,4222.0,2020,41.3718765311122,38.010408803782134
2021-02,10477.0,6704.0,1425.0,2080.0,3199.0,3773.0,2020,36.0122172377589,37.54851383942119
2021-03,11944.0,7061.0,1229.0,2501.0,3331.0,4883.0,2020,40.882451440053586,37.686939973039415
2021-04,11405.0,7385.0,1155.0,2684.0,3545.0,4020.0,2020,35.24769837790443,37.3732191483484
2021-05,9786.0,5916.0,562.0,2616.0,2737.0,3870.0,2020,39.546290619252,37.43124508893492
2021-06,9865.0,6030.0,490.0,2804.0,2738.0,3835.0,2020,38.874809934110495,37.39135293037808
2021-07,10653.0,6604.0,1288.0,2585.0,2731.0,4049.0,2020,38.00807284333052,37.44694092490345
2021-08,10117.0,6295.0,1203.0,2328.0,2763.0,3822.0,2020,37.7779974300682,37.527211833658946
2021-09,10074.0,6097.0,1168.0,1914.0,3015.0,3977.0,2020,39.47786380782212,37.537604634646534
2021-10,9678.0,6166.0,1068.0,1482.0,3615.0,3513.0,2021,36.298822070675755,37.67145695522769
2021-11,9246.0,5719.0,1255.0,1521.0,2943.0,3527.0,2021,38.1462253947653,38.12088088731715
2021-12,12116.0,7128.0,1252.0,1848.0,4027.0,4988.0,2021,41.1687025420931,38.60838124970135
2022-01,10863.0,6684.0,1165.0,2102.0,3418.0,4178.0,2021,38.46083034152628,38.37225884142477
2022-02,11402.0,7285.0,1149.0,2319.0,3817.0,4117.0,2021,36.107700403437995,38.363652093213474
2022-03,13157.0,7794.0,1303.0,2656.0,3835.0,5362.0,2021,40.753971270046364,38.37428522459918
2022-04,10924.0,6809.0,995.0,2754.0,3059.0,4116.0,2021,37.678506041742956,38.59369257356449
2022-05,10803.0,6757.0,1097.0,2576.0,3084.0,4046.0,2021,37.45255947422012,38.425731974119074
2022-06,11112.0,7080.0,1082.0,2564.0,3434.0,4033.0,2021,36.29409647228222,38.20968919282339
2022-07,10115.0,6382.0,1131.0,2460.0,2791.0,3734.0,2021,36.91547207118141,38.125255580331306
2022-08,9901.0,6240.0,958.0,2198.0,3085.0,3660.0,2021,36.96596303403696,38.06369840251641
2022-09,9946.0,6390.0,925.0,1923.0,3541.0,3556.0,2021,35.75306655942087,37.77569760875115
2022-10,9686.0,6298.0,984.0,1529.0,3785.0,3389.0,2022,34.988643402849476,37.67743732159572
2022-11,10243.0,6166.0,970.0,1309.0,3887.0,4077.0,2022,39.80279215073709,37.811281358430314
2022-12,10878.0,6098.0,1178.0,1493.0,3427.0,4780.0,2022,43.94190108475823,38.01286522514144
2023-01,9699.0,5763.0,950.0,1788.0,3024.0,3936.0,2022,40.5815032477575,38.169646348521105
2023-02,8904.0,5609.0,1076.0,1963.0,2570.0,3294.0,2022,36.99460916442048,38.273722161955206
2023-03,12023.0,6752.0,1056.0,2374.0,3322.0,5270.0,2022,43.83265407968061,38.54902844631904
2023-04,10153.0,6158.0,850.0,2470.0,2839.0,3995.0,2022,39.347975967694275,38.691753804783616
2023-05,10695.0,6529.0,994.0,2819.0,2716.0,4166.0,2022,38.95278167367929,38.82290948887358
2023-06,10408.0,6238.0,914.0,2586.0,2738.0,4170.0,2022,40.065334358186014,39.15744673912157
2023-07,10206.0,6220.0,1008.0,2425.0,2787.0,3986.0,2022,39.05545757397609,39.33372439751675
2023-08,10302.0,6420.0,926.0,2204.0,3290.0,3882.0,2022,37.68200349446709,39.38591718571092
2023-09,8608.0,5592.0,970.0,1739.0,2883.0,3016.0,2022,35.03717472118959,39.375230901851324
2023-10,9530.0,6647.0,1032.0,1591.0,4024.0,2883.0,2023,30.251836306400843,39.00977402198127
2023-11,10606.0,6516.0,1219.0,1502.0,3795.0,4090.0,2023,38.56307750330002,38.90437006196112
2023-12,12168.0,6885.0,1197.0,1638.0,4050.0,5284.0,2023,43.42537804076266,38.90610046876774
2024-01,12621.0,6972.0,1052.0,2013.0,3907.0,5649.0,2023,44.75873544093178,39.3625617949043
2024-02,11332.0,6676.0,1186.0,2158.0,3333.0,4655.0,2023,41.078362160254144,39.67757982775238
2024-03,12994.0,7443.0,1158.0,2501.0,3785.0,5551.0,2023,42.71971679236571,39.597139396557715
2024-04,11965.0,7396.0,942.0,2350.0,4104.0,4569.0,2023,38.186376932720435,39.487959828051885
2024-05,11775.0,7959.0,1098.0,2874.0,3987.0,3816.0,2023,32.40764331210191,38.9020110930838
2024-06,10780.0,7075.0,1122.0,2642.0,3311.0,3705.0,2023,34.36920222634509,38.44318857375063
2024-07,11286.0,7025.0,1129.0,2404.0,3491.0,4261.0,2023,37.754740386319334,38.33854605985056
2024-08,10917.0,6523.0,1140.0,1996.0,3386.0,4395.0,2023,40.25831272327562,38.54453047212852
2024-09,10763.0,7208.0,1092.0,2163.0,3952.0,3556.0,2023,33.03911548824677,38.33198037107732
2024-10,11132.0,7508.0,1231.0,1744.0,4533.0,3624.0,2024,32.55479698167445,38.423727220812644
2024-11,10859.0,7243.0,1347.0,1534.0,4363.0,3616.0,2024,33.29956717929828,38.011573539598245
2024-12,10727.0,6576.0,1473.0,1501.0,3603.0,4151.0,2024,38.69674652745409,37.5848517327617
2025-01,10826.0,6665.0,1107.0,1704.0,3854.0,4160.0,2024,38.42601145390726,36.98321463400219
2025-02,12234.0,7043.0,1318.0,2139.0,3586.0,5191.0,2024,42.430930194539805,37.13176474041891
2025-03,13002.0,7880.0,1432.0,2655.0,3792.0,5122.0,2024,39.39393939393939,36.814759367707275
2025-04,11426.0,6908.0,967.0,2551.0,3390.0,4518.0,2024,39.54139681428322,36.923382967279906
2025-05,12648.0,7653.0,1063.0,3020.0,3571.0,4995.0,2024,39.492409867172675,37.550512445095166
2025-06,11689.0,7077.0,1292.0,3030.0,2756.0,4612.0,2024,39.455898708187185,37.96187885883833
2025-07,11418.0,6919.0,1253.0,2751.0,2914.0,4499.0,2024,39.40269749518304,38.09838638196468
2025-08,11354.0,6561.0,1246.0,2244.0,3070.0,4793.0,2024,42.214197639598375,38.26605252103884
2025-09,10998.0,6752.0,1176.0,2211.0,3366.0,4246.0,2024,38.607019458083286,38.699905287283194
2025-10,11157.0,7312.0,1206.0,1785.0,4321.0,3846.0,2025,34.471632159182576,38.85338807847446
2025-11,10473.0,6363.0,1318.0,1505.0,3540.0,4110.0,2025,39.24376969349757,39.32019832985386
2025-12,11940.0,6296.0,1180.0,1829.0,3287.0,5644.0,2025,47.26968174204355,40.05030000359286
2026-01,12618.0,6280.0,1079.0,2244.0,2957.0,6338.0,2025,50.22983040101442,41.08628872634917
2026-02,11464.0,6374.0,1017.0,2583.0,2775.0,5090.0,2025,44.399860432658755,41.23991525605085
2026-04,12807.0,7359.0,1626.0,2595.0,3138.0,5448.0,2025,42.53923635511829,41.53023029887422
2026-05,9788.0,4522.0,-1516.0,3051.0,2987.0,5266.0,2025,53.80057212913773,42.56255691920725
2026-07,12235.0,6337.0,1124.0,2496.0,2718.0,5898.0,2025,48.205966489579076,43.344618351324115
