country,series,variable,unit,source,n_obs,first_year,last_year,n_interpolated,adf_p_level,adf_p_diff,d_reason,status,p,d,q,trend,model,aic,aicc,bic,loglik,ljungbox_lag,ljungbox_p,rmse_insample,mape_insample,backtest_h,backtest_mape_arma,backtest_mape_naive,equation,mu,beta,phi1,phi2,sigma2,c,b,theta1,theta2,phi3
Colombia,Trees non-bearing,trees,million trees,USDA,29,1998,2026,0,6.57385e-14,0.0015394,ADF p = 0.000 on levels,ok,2,0,0,c,"ARMA(2,0)",320.98,322.647,326.449,-156.49,7,0.274558,87.0098,5.12733,3,1.62316,0,X_t = 142.9 + 1.544·X_{t-1} − 0.692·X_{t-2} + ε_t,961.918,,1.54365,-0.69224,2560.65,142.933,,,,
Colombia,Trees bearing,trees,million trees,USDA,29,1998,2026,0,0.844686,2.79959e-05,ADF p = 0.845 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",351.426,351.58,352.758,-174.713,7,0.99946,124.066,1.2761,3,0,0,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,15380,,,,,
Colombia,Yield,yield,bags/ha,USDA,29,1998,2026,0,0.329034,0.000144047,ADF p = 0.329 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",111.585,111.739,112.917,-54.7924,7,0.432711,1.71246,9.31703,3,6.87997,6.87997,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,2.93249,,,,,
Colombia (Fedecafe),Production Arabica,production,1000 60-kg bags,Fedecafe / Agronet,20,2007,2026,0,0.586139,1.6943e-09,ADF p = 0.586 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",326.528,326.763,327.472,-162.264,5,0.833081,1238.01,7.51305,3,16.8408,16.8408,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,1.52866e+06,,,,,
Colombia (Fedecafe),Area total,area,1000 ha,Fedecafe / Agronet,20,2007,2026,0,0.994096,0.00114443,ADF p = 0.994 on levels,ok,1,1,0,n,"ARIMA(1,1,0)",156.69,157.44,158.579,-76.3449,5,0.831657,13.3087,0.972191,3,0.140388,0.479332,∇X_t = 0.635·∇X_{t-1} + ε_t   with ∇X_t = X_t − X_{t-1},,,0.635389,,176.199,,,,,
Colombia (Fedecafe),Area non-bearing,area,1000 ha,Fedecafe / Agronet,20,2007,2026,0,2.36663e-15,0.000512827,ADF p = 0.000 on levels,ok,1,0,0,c,"ARMA(1,0)",197.508,199.008,200.496,-95.7542,5,0.161002,30.1911,14.0378,3,19.2199,21.4351,X_t = 50.75 + 0.678·X_{t-1} + ε_t,157.786,,0.678381,,817.893,50.747,,,,
Colombia (Fedecafe),Area bearing,area,1000 ha,Fedecafe / Agronet,27,2000,2026,0,0.551698,1.32616e-06,ADF p = 0.552 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",252.028,252.194,253.286,-125.014,6,0.742853,29.6447,3.19081,3,6.65921,6.65921,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,878.761,,,,,
Colombia (Fedecafe),Trees total,trees,million trees,Fedecafe / Agronet,15,2012,2026,0,8.42865e-10,0.00204295,ADF p = 0.000 on levels,ok,1,0,0,ct,"ARMA(1,0)",219.495,223.495,222.327,-105.748,3,0.339715,291.854,4.59747,3,8.32355,0.512671,X_t = 1047 + 24.28·t + 0.718·X_{t-1} + ε_t,3489,85.9977,0.717706,,74126.7,1046.65,24.2767,,,
Colombia (Fedecafe),Yield,yield,bags/ha,Fedecafe / Agronet,20,2007,2026,0,0.133661,0.0115445,ADF p = 0.134 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",83.9871,84.2224,84.9316,-40.9936,5,0.864962,2.09304,9.04875,3,14.9576,14.9576,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,4.38075,,,,,
Honduras,Production Arabica,production,1000 60-kg bags,USDA,27,2000,2026,0,0.475726,5.62616e-09,ADF p = 0.476 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",428.145,428.312,429.403,-213.073,6,0.208455,876.694,12.7408,3,10.6892,10.6892,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,767679,,,,,
