key,lat,lon,elev_m,year,month,rain_mm,tmax_mean_c,tmin_mean_c,n_days
comayagua_lalibertad,14.700005,-87.6,595.0,1993,11,,24.61,18.84,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,12,,24.72,17.79,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,1,,25.28,17.63,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,2,,27.5,18.18,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,3,,30.16,18.47,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,4,,31.76,20.48,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,5,,30.9,21.51,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,6,,30.82,21.16,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,7,,30.97,21.23,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,8,,30.92,21.36,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,9,,28.13,20.96,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,10,,27.68,19.92,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,11,,25.52,18.98,0
comayagua_lalibertad,14.700005,-87.6,595.0,1994,12,,25.18,18.38,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,1,,26.5,17.36,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,2,,26.6,17.2,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,3,,30.92,19.03,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,4,,32.28,21.15,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,5,,32.08,21.1,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,6,,29.82,21.26,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,7,,28.51,21.09,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,8,,28.49,21.05,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,9,,27.55,20.89,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,10,,26.64,20.2,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,11,,25.42,19.63,0
comayagua_lalibertad,14.700005,-87.6,595.0,1995,12,,25.22,19.05,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,1,,24.2,16.6,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,2,,26.29,17.67,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,3,,27.85,16.95,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,4,,30.97,20.77,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,5,,28.56,20.94,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,6,,29.62,21.52,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,7,,27.92,20.85,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,8,,27.83,20.29,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,9,,28.95,20.7,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,10,,26.45,20.15,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,11,,23.39,18.56,0
comayagua_lalibertad,14.700005,-87.6,595.0,1996,12,,25.01,18.37,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,1,,25.27,17.55,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,2,,26.69,18.04,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,3,,29.88,19.16,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,4,,32.75,20.74,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,5,,33.03,21.76,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,6,,27.86,20.86,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,7,,28.23,21.18,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,8,,28.66,21.09,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,9,,28.88,21.38,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,10,,26.81,20.26,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,11,,26.74,20.21,0
comayagua_lalibertad,14.700005,-87.6,595.0,1997,12,,26.34,17.15,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,1,,28.23,18.67,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,2,,31.63,17.75,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,3,,29.76,19.17,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,4,,34.33,21.26,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,5,,33.61,22.12,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,6,,30.36,21.84,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,7,,28.91,21.0,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,8,,29.32,21.3,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,9,,29.99,21.13,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,10,,26.5,20.85,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,11,,25.44,19.77,0
comayagua_lalibertad,14.700005,-87.6,595.0,1998,12,,23.77,18.18,0
