country,source,indicator,unit,period_type,period,value,source_url,notes
Ethiopia,FAOSTAT,production,t,calendar_year,2016,494819,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2017,549531,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2018,573986,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2019,573580,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2020,584789.57,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2021,590400,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2022,545566.36,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2023,559400,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag X=Figure from external organization; bulk release 2025-12-23; Unofficial figure"
Ethiopia,FAOSTAT,production,t,calendar_year,2024,575696.18,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag I=Value imputed by a receiving agency; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,1998,760.2,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,1999,865.3,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,2000,919.9,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,2001,644.5,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,2002,733.9,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,2003,542.9,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,2004,600.2,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,yield,kg/ha,calendar_year,2005,657.1,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5412; flag A=Official figure; bulk release 2025-12-23"
