town,year,month,rain_mm,grid_lat,grid_lon,source
comayagua,1994,6,108.54,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,7,96.69,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,8,126.01,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,9,238.76,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,10,87.0,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,11,44.14,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,12,8.6,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,1,6.99,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,2,19.74,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,3,21.46,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,4,43.95,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,5,125.1,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,6,176.79,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,7,208.59,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,8,366.42,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,9,266.94,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,10,114.27,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,11,21.92,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1995,12,60.01,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,1,44.93,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,2,26.16,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,3,27.7,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,4,57.54,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,5,130.77,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,6,102.02,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,7,168.97,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,8,191.87,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,9,197.78,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,10,128.85,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,11,91.34,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1996,12,16.77,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,1,42.04,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,2,19.03,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,3,39.59,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,4,19.56,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1997,5,50.37,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
