town,date,tmin_c,grid_lat,grid_lon
ocotepeque,2005-03-08,19.862,14.25,270.75
copan,2005-03-08,18.903,14.75,271.25
comayagua,2005-03-09,18.989,14.25,272.25
ocotepeque,2005-03-09,19.887,14.25,270.75
copan,2005-03-09,18.769,14.75,271.25
comayagua,2005-03-10,19.465,14.25,272.25
ocotepeque,2005-03-10,19.64,14.25,270.75
copan,2005-03-10,16.581,14.75,271.25
comayagua,2005-03-11,18.912,14.25,272.25
ocotepeque,2005-03-11,23.83,14.25,270.75
copan,2005-03-11,16.219,14.75,271.25
comayagua,2005-03-12,19.448,14.25,272.25
ocotepeque,2005-03-12,20.754,14.25,270.75
copan,2005-03-12,16.216,14.75,271.25
comayagua,2005-03-13,17.948,14.25,272.25
ocotepeque,2005-03-13,23.805,14.25,270.75
copan,2005-03-13,16.973,14.75,271.25
comayagua,2005-03-14,14.828,14.25,272.25
ocotepeque,2005-03-14,21.567,14.25,270.75
copan,2005-03-14,14.818,14.75,271.25
comayagua,2005-03-15,17.294,14.25,272.25
ocotepeque,2005-03-15,20.913,14.25,270.75
copan,2005-03-15,15.879,14.75,271.25
comayagua,2005-03-16,18.453,14.25,272.25
ocotepeque,2005-03-16,21.003,14.25,270.75
copan,2005-03-16,19.605,14.75,271.25
comayagua,2005-03-17,15.081,14.25,272.25
ocotepeque,2005-03-17,23.063,14.25,270.75
copan,2005-03-17,16.47,14.75,271.25
comayagua,2005-03-18,21.006,14.25,272.25
ocotepeque,2005-03-18,20.735,14.25,270.75
copan,2005-03-18,18.006,14.75,271.25
comayagua,2005-03-19,19.203,14.25,272.25
ocotepeque,2005-03-19,19.506,14.25,270.75
copan,2005-03-19,17.315,14.75,271.25
comayagua,2005-03-20,20.06,14.25,272.25
ocotepeque,2005-03-20,20.735,14.25,270.75
copan,2005-03-20,17.507,14.75,271.25
comayagua,2005-03-21,19.269,14.25,272.25
ocotepeque,2005-03-21,20.49,14.25,270.75
copan,2005-03-21,16.778,14.75,271.25
comayagua,2005-03-22,17.561,14.25,272.25
ocotepeque,2005-03-22,19.72,14.25,270.75
copan,2005-03-22,17.842,14.75,271.25
comayagua,2005-03-23,20.867,14.25,272.25
ocotepeque,2005-03-23,23.809,14.25,270.75
copan,2005-03-23,18.915,14.75,271.25
comayagua,2005-03-24,19.489,14.25,272.25
ocotepeque,2005-03-24,22.077,14.25,270.75
copan,2005-03-24,17.233,14.75,271.25
comayagua,2005-03-25,19.201,14.25,272.25
ocotepeque,2005-03-25,21.143,14.25,270.75
copan,2005-03-25,17.967,14.75,271.25
comayagua,2005-03-26,19.977,14.25,272.25
ocotepeque,2005-03-26,22.451,14.25,270.75
copan,2005-03-26,23.459,14.75,271.25
comayagua,2005-03-27,20.628,14.25,272.25
ocotepeque,2005-03-27,22.049,14.25,270.75
copan,2005-03-27,24.403,14.75,271.25
comayagua,2005-03-28,20.103,14.25,272.25
ocotepeque,2005-03-28,21.635,14.25,270.75
copan,2005-03-28,18.806,14.75,271.25
comayagua,2005-03-29,21.036,14.25,272.25
ocotepeque,2005-03-29,20.282,14.25,270.75
copan,2005-03-29,18.01,14.75,271.25
comayagua,2005-03-30,19.571,14.25,272.25
ocotepeque,2005-03-30,20.549,14.25,270.75
copan,2005-03-30,19.587,14.75,271.25
comayagua,2005-03-31,21.259,14.25,272.25
ocotepeque,2005-03-31,24.279,14.25,270.75
copan,2005-03-31,21.995,14.75,271.25
comayagua,2005-04-01,20.402,14.25,272.25
ocotepeque,2005-04-01,24.118,14.25,270.75
copan,2005-04-01,21.424,14.75,271.25
comayagua,2005-04-02,19.675,14.25,272.25
ocotepeque,2005-04-02,20.796,14.25,270.75
copan,2005-04-02,19.452,14.75,271.25
comayagua,2005-04-03,22.402,14.25,272.25
ocotepeque,2005-04-03,19.581,14.25,270.75
copan,2005-04-03,19.337,14.75,271.25
comayagua,2005-04-04,18.122,14.25,272.25
ocotepeque,2005-04-04,22.022,14.25,270.75
copan,2005-04-04,15.981,14.75,271.25
comayagua,2005-04-05,19.503,14.25,272.25
ocotepeque,2005-04-05,19.982,14.25,270.75
copan,2005-04-05,18.919,14.75,271.25
comayagua,2005-04-06,14.217,14.25,272.25
ocotepeque,2005-04-06,18.593,14.25,270.75
copan,2005-04-06,14.951,14.75,271.25
comayagua,2005-04-07,17.971,14.25,272.25
ocotepeque,2005-04-07,20.751,14.25,270.75
copan,2005-04-07,18.74,14.75,271.25
comayagua,2005-04-08,19.396,14.25,272.25
ocotepeque,2005-04-08,20.661,14.25,270.75
copan,2005-04-08,16.95,14.75,271.25
comayagua,2005-04-09,23.226,14.25,272.25
ocotepeque,2005-04-09,21.836,14.25,270.75
copan,2005-04-09,19.957,14.75,271.25
comayagua,2005-04-10,19.907,14.25,272.25
ocotepeque,2005-04-10,25.542,14.25,270.75
copan,2005-04-10,21.834,14.75,271.25
comayagua,2005-04-11,20.099,14.25,272.25
ocotepeque,2005-04-11,26.618,14.25,270.75
copan,2005-04-11,24.779,14.75,271.25
comayagua,2005-04-12,20.446,14.25,272.25
ocotepeque,2005-04-12,21.313,14.25,270.75
copan,2005-04-12,20.007,14.75,271.25
comayagua,2005-04-13,21.749,14.25,272.25
ocotepeque,2005-04-13,21.828,14.25,270.75
copan,2005-04-13,19.869,14.75,271.25
comayagua,2005-04-14,20.073,14.25,272.25
ocotepeque,2005-04-14,21.212,14.25,270.75
copan,2005-04-14,17.69,14.75,271.25
comayagua,2005-04-15,20.403,14.25,272.25
ocotepeque,2005-04-15,22.377,14.25,270.75
copan,2005-04-15,19.662,14.75,271.25
comayagua,2005-04-16,20.385,14.25,272.25
ocotepeque,2005-04-16,23.326,14.25,270.75
copan,2005-04-16,16.468,14.75,271.25
comayagua,2005-04-17,17.333,14.25,272.25
ocotepeque,2005-04-17,20.064,14.25,270.75
copan,2005-04-17,16.003,14.75,271.25
comayagua,2005-04-18,16.494,14.25,272.25
ocotepeque,2005-04-18,19.653,14.25,270.75
copan,2005-04-18,15.711,14.75,271.25
comayagua,2005-04-19,16.424,14.25,272.25
ocotepeque,2005-04-19,18.446,14.25,270.75
copan,2005-04-19,11.275,14.75,271.25
comayagua,2005-04-20,19.547,14.25,272.25
ocotepeque,2005-04-20,18.591,14.25,270.75
copan,2005-04-20,15.396,14.75,271.25
comayagua,2005-04-21,16.483,14.25,272.25
ocotepeque,2005-04-21,22.784,14.25,270.75
copan,2005-04-21,14.786,14.75,271.25
comayagua,2005-04-22,17.016,14.25,272.25
ocotepeque,2005-04-22,21.069,14.25,270.75
copan,2005-04-22,15.329,14.75,271.25
comayagua,2005-04-23,16.363,14.25,272.25
ocotepeque,2005-04-23,21.841,14.25,270.75
copan,2005-04-23,14.502,14.75,271.25
comayagua,2005-04-24,19.625,14.25,272.25
ocotepeque,2005-04-24,24.041,14.25,270.75
copan,2005-04-24,18.732,14.75,271.25
comayagua,2005-04-25,17.726,14.25,272.25
ocotepeque,2005-04-25,22.377,14.25,270.75
copan,2005-04-25,16.893,14.75,271.25
comayagua,2005-04-26,18.842,14.25,272.25
ocotepeque,2005-04-26,20.559,14.25,270.75
copan,2005-04-26,23.276,14.75,271.25
comayagua,2005-04-27,15.911,14.25,272.25
ocotepeque,2005-04-27,18.897,14.25,270.75
