town,year,month,tmean_c,grid_lat,grid_lon
ocotepeque,2015,3,22.825,14.25,270.75
copan,2015,3,21.325,14.75,271.25
comayagua,2015,4,22.299,14.25,272.25
ocotepeque,2015,4,24.361,14.25,270.75
copan,2015,4,22.893,14.75,271.25
comayagua,2015,5,21.784,14.25,272.25
ocotepeque,2015,5,23.659,14.25,270.75
copan,2015,5,22.409,14.75,271.25
comayagua,2015,6,21.511,14.25,272.25
ocotepeque,2015,6,23.355,14.25,270.75
copan,2015,6,22.323,14.75,271.25
comayagua,2015,7,22.693,14.25,272.25
ocotepeque,2015,7,24.443,14.25,270.75
copan,2015,7,23.318,14.75,271.25
comayagua,2015,8,22.58,14.25,272.25
ocotepeque,2015,8,24.33,14.25,270.75
copan,2015,8,23.205,14.75,271.25
comayagua,2015,9,21.513,14.25,272.25
ocotepeque,2015,9,23.419,14.25,270.75
copan,2015,9,22.357,14.75,271.25
comayagua,2015,10,21.317,14.25,272.25
ocotepeque,2015,10,23.192,14.25,270.75
copan,2015,10,21.973,14.75,271.25
comayagua,2015,11,21.196,14.25,272.25
ocotepeque,2015,11,23.102,14.25,270.75
copan,2015,11,21.696,14.75,271.25
comayagua,2015,12,20.946,14.25,272.25
ocotepeque,2015,12,22.289,14.25,270.75
copan,2015,12,21.008,14.75,271.25
comayagua,2016,1,19.937,14.25,272.25
ocotepeque,2016,1,21.187,14.25,270.75
copan,2016,1,19.812,14.75,271.25
comayagua,2016,2,19.476,14.25,272.25
ocotepeque,2016,2,20.788,14.25,270.75
copan,2016,2,19.382,14.75,271.25
comayagua,2016,3,22.082,14.25,272.25
ocotepeque,2016,3,23.863,14.25,270.75
copan,2016,3,22.363,14.75,271.25
comayagua,2016,4,22.635,14.25,272.25
ocotepeque,2016,4,24.697,14.25,270.75
copan,2016,4,23.228,14.75,271.25
comayagua,2016,5,22.663,14.25,272.25
ocotepeque,2016,5,24.601,14.25,270.75
copan,2016,5,23.382,14.75,271.25
comayagua,2016,6,21.589,14.25,272.25
ocotepeque,2016,6,23.432,14.25,270.75
copan,2016,6,22.432,14.75,271.25
comayagua,2016,7,21.774,14.25,272.25
ocotepeque,2016,7,23.43,14.25,270.75
copan,2016,7,22.368,14.75,271.25
comayagua,2016,8,21.713,14.25,272.25
ocotepeque,2016,8,23.526,14.25,270.75
copan,2016,8,22.432,14.75,271.25
comayagua,2016,9,21.055,14.25,272.25
ocotepeque,2016,9,22.993,14.25,270.75
copan,2016,9,21.961,14.75,271.25
comayagua,2016,10,20.261,14.25,272.25
ocotepeque,2016,10,22.23,14.25,270.75
copan,2016,10,21.011,14.75,271.25
comayagua,2016,11,19.713,14.25,272.25
ocotepeque,2016,11,21.744,14.25,270.75
copan,2016,11,20.306,14.75,271.25
comayagua,2016,12,20.455,14.25,272.25
ocotepeque,2016,12,22.33,14.25,270.75
copan,2016,12,20.892,14.75,271.25
comayagua,2017,1,20.796,14.25,272.25
ocotepeque,2017,1,22.39,14.25,270.75
copan,2017,1,20.89,14.75,271.25
comayagua,2017,2,21.843,14.25,272.25
ocotepeque,2017,2,23.531,14.25,270.75
copan,2017,2,22.187,14.75,271.25
comayagua,2017,3,20.77,14.25,272.25
ocotepeque,2017,3,22.614,14.25,270.75
copan,2017,3,21.082,14.75,271.25
comayagua,2017,4,22.117,14.25,272.25
ocotepeque,2017,4,24.117,14.25,270.75
copan,2017,4,22.679,14.75,271.25
comayagua,2017,5,21.727,14.25,272.25
ocotepeque,2017,5,23.634,14.25,270.75
copan,2017,5,22.446,14.75,271.25
comayagua,2017,6,21.465,14.25,272.25
ocotepeque,2017,6,23.277,14.25,270.75
copan,2017,6,22.34,14.75,271.25
comayagua,2017,7,21.454,14.25,272.25
ocotepeque,2017,7,23.142,14.25,270.75
copan,2017,7,22.111,14.75,271.25
comayagua,2017,8,21.35,14.25,272.25
ocotepeque,2017,8,23.193,14.25,270.75
copan,2017,8,22.131,14.75,271.25
comayagua,2017,9,21.214,14.25,272.25
ocotepeque,2017,9,23.089,14.25,270.75
copan,2017,9,22.089,14.75,271.25
comayagua,2017,10,20.279,14.25,272.25
ocotepeque,2017,10,22.123,14.25,270.75
copan,2017,10,20.904,14.75,271.25
comayagua,2017,11,19.393,14.25,272.25
ocotepeque,2017,11,21.455,14.25,270.75
copan,2017,11,19.987,14.75,271.25
comayagua,2017,12,19.362,14.25,272.25
ocotepeque,2017,12,20.769,14.25,270.75
copan,2017,12,19.456,14.75,271.25
comayagua,2018,1,17.955,14.25,272.25
ocotepeque,2018,1,19.299,14.25,270.75
copan,2018,1,17.955,14.75,271.25
comayagua,2018,2,19.608,14.25,272.25
ocotepeque,2018,2,21.171,14.25,270.75
copan,2018,2,19.827,14.75,271.25
comayagua,2018,3,20.715,14.25,272.25
ocotepeque,2018,3,22.684,14.25,270.75
copan,2018,3,21.184,14.75,271.25
comayagua,2018,4,21.631,14.25,272.25
ocotepeque,2018,4,23.662,14.25,270.75
copan,2018,4,22.225,14.75,271.25
comayagua,2018,5,21.301,14.25,272.25
ocotepeque,2018,5,23.27,14.25,270.75
copan,2018,5,22.051,14.75,271.25
comayagua,2018,6,20.888,14.25,272.25
ocotepeque,2018,6,22.763,14.25,270.75
copan,2018,6,21.795,14.75,271.25
comayagua,2018,7,21.764,14.25,272.25
ocotepeque,2018,7,23.483,14.25,270.75
copan,2018,7,22.389,14.75,271.25
comayagua,2018,8,21.377,14.25,272.25
ocotepeque,2018,8,23.002,14.25,270.75
copan,2018,8,21.94,14.75,271.25
comayagua,2018,9,20.922,14.25,272.25
ocotepeque,2018,9,22.765,14.25,270.75
copan,2018,9,21.734,14.75,271.25
comayagua,2018,10,20.437,14.25,272.25
ocotepeque,2018,10,22.312,14.25,270.75
copan,2018,10,21.156,14.75,271.25
comayagua,2018,11,21.485,14.25,272.25
ocotepeque,2018,11,23.453,14.25,270.75
copan,2018,11,21.953,14.75,271.25
comayagua,2018,12,20.492,14.25,272.25
ocotepeque,2018,12,22.148,14.25,270.75
copan,2018,12,20.711,14.75,271.25
comayagua,2019,1,19.995,14.25,272.25
ocotepeque,2019,1,21.713,14.25,270.75
copan,2019,1,20.182,14.75,271.25
comayagua,2019,2,21.589,14.25,272.25
ocotepeque,2019,2,23.589,14.25,270.75
copan,2019,2,22.057,14.75,271.25
comayagua,2019,3,20.582,14.25,272.25
ocotepeque,2019,3,22.332,14.25,270.75
copan,2019,3,20.895,14.75,271.25
comayagua,2019,4,21.516,14.25,272.25
ocotepeque,2019,4,23.672,14.25,270.75
copan,2019,4,22.235,14.75,271.25
comayagua,2019,5,21.824,14.25,272.25
ocotepeque,2019,5,23.824,14.25,270.75
copan,2019,5,22.668,14.75,271.25
comayagua,2019,6,22.858,14.25,272.25
ocotepeque,2019,6,24.733,14.25,270.75
copan,2019,6,23.702,14.75,271.25
comayagua,2019,7,21.453,14.25,272.25
ocotepeque,2019,7,23.172,14.25,270.75
copan,2019,7,22.141,14.75,271.25
comayagua,2019,8,21.295,14.25,272.25
ocotepeque,2019,8,23.326,14.25,270.75
copan,2019,8,22.326,14.75,271.25
comayagua,2019,9,21.165,14.25,272.25
ocotepeque,2019,9,22.79,14.25,270.75
copan,2019,9,21.915,14.75,271.25
comayagua,2019,10,20.413,14.25,272.25
ocotepeque,2019,10,22.444,14.25,270.75
copan,2019,10,21.288,14.75,271.25
comayagua,2019,11,20.476,14.25,272.25
ocotepeque,2019,11,22.445,14.25,270.75
copan,2019,11,21.039,14.75,271.25
comayagua,2019,12,19.978,14.25,272.25
ocotepeque,2019,12,21.634,14.25,270.75
copan,2019,12,20.196,14.75,271.25
comayagua,2020,1,19.633,14.25,272.25
ocotepeque,2020,1,21.446,14.25,270.75
copan,2020,1,19.977,14.75,271.25
comayagua,2020,2,20.287,14.25,272.25
ocotepeque,2020,2,22.068,14.25,270.75
copan,2020,2,20.662,14.75,271.25
comayagua,2020,3,20.397,14.25,272.25
ocotepeque,2020,3,22.647,14.25,270.75
copan,2020,3,21.21,14.75,271.25
comayagua,2020,4,23.32,14.25,272.25
ocotepeque,2020,4,25.601,14.25,270.75
copan,2020,4,24.101,14.75,271.25
comayagua,2020,5,21.627,14.25,272.25
ocotepeque,2020,5,23.595,14.25,270.75
copan,2020,5,22.47,14.75,271.25
comayagua,2020,6,20.845,14.25,272.25
ocotepeque,2020,6,22.657,14.25,270.75
copan,2020,6,21.751,14.75,271.25
comayagua,2020,7,21.669,14.25,272.25
ocotepeque,2020,7,23.294,14.25,270.75
copan,2020,7,22.388,14.75,271.25
comayagua,2020,8,21.66,14.25,272.25
ocotepeque,2020,8,23.441,14.25,270.75
copan,2020,8,22.441,14.75,271.25
comayagua,2020,9,21.312,14.25,272.25
ocotepeque,2020,9,23.124,14.25,270.75
copan,2020,9,22.187,14.75,271.25
comayagua,2020,10,20.411,14.25,272.25
ocotepeque,2020,10,22.036,14.25,270.75
copan,2020,10,20.973,14.75,271.25
comayagua,2020,11,19.239,14.25,272.25
ocotepeque,2020,11,21.302,14.25,270.75
copan,2020,11,19.895,14.75,271.25
comayagua,2020,12,18.661,14.25,272.25
ocotepeque,2020,12,20.505,14.25,270.75
copan,2020,12,19.067,14.75,271.25
comayagua,2021,1,19.635,14.25,272.25
ocotepeque,2021,1,21.322,14.25,270.75
copan,2021,1,19.885,14.75,271.25
comayagua,2021,2,20.001,14.25,272.25
ocotepeque,2021,2,21.345,14.25,270.75
copan,2021,2,20.064,14.75,271.25
comayagua,2021,3,20.456,14.25,272.25
ocotepeque,2021,3,21.987,14.25,270.75
