town,date,tmax_c,grid_lat,grid_lon
comayagua,2005-03-09,30.49,14.25,272.25
ocotepeque,2005-03-09,30.949,14.25,270.75
copan,2005-03-09,30.241,14.75,271.25
comayagua,2005-03-10,24.562,14.25,272.25
ocotepeque,2005-03-10,28.042,14.25,270.75
copan,2005-03-10,18.883,14.75,271.25
comayagua,2005-03-11,28.919,14.25,272.25
ocotepeque,2005-03-11,29.495,14.25,270.75
copan,2005-03-11,19.165,14.75,271.25
comayagua,2005-03-12,30.499,14.25,272.25
ocotepeque,2005-03-12,31.526,14.25,270.75
copan,2005-03-12,24.813,14.75,271.25
comayagua,2005-03-13,31.701,14.25,272.25
ocotepeque,2005-03-13,32.095,14.25,270.75
copan,2005-03-13,30.456,14.75,271.25
comayagua,2005-03-14,28.959,14.25,272.25
ocotepeque,2005-03-14,32.879,14.25,270.75
copan,2005-03-14,29.63,14.75,271.25
comayagua,2005-03-15,30.954,14.25,272.25
ocotepeque,2005-03-15,32.682,14.25,270.75
copan,2005-03-15,30.552,14.75,271.25
comayagua,2005-03-16,30.843,14.25,272.25
ocotepeque,2005-03-16,31.575,14.25,270.75
copan,2005-03-16,29.798,14.75,271.25
comayagua,2005-03-17,31.752,14.25,272.25
ocotepeque,2005-03-17,32.492,14.25,270.75
copan,2005-03-17,29.678,14.75,271.25
comayagua,2005-03-18,28.594,14.25,272.25
ocotepeque,2005-03-18,29.639,14.25,270.75
copan,2005-03-18,21.481,14.75,271.25
comayagua,2005-03-19,29.859,14.25,272.25
ocotepeque,2005-03-19,29.746,14.25,270.75
copan,2005-03-19,27.924,14.75,271.25
comayagua,2005-03-20,28.316,14.25,272.25
ocotepeque,2005-03-20,30.47,14.25,270.75
copan,2005-03-20,26.487,14.75,271.25
comayagua,2005-03-21,30.49,14.25,272.25
ocotepeque,2005-03-21,32.404,14.25,270.75
copan,2005-03-21,29.42,14.75,271.25
comayagua,2005-03-22,29.976,14.25,272.25
ocotepeque,2005-03-22,32.688,14.25,270.75
copan,2005-03-22,30.712,14.75,271.25
comayagua,2005-03-23,31.36,14.25,272.25
ocotepeque,2005-03-23,31.591,14.25,270.75
copan,2005-03-23,27.89,14.75,271.25
comayagua,2005-03-24,31.544,14.25,272.25
ocotepeque,2005-03-24,32.433,14.25,270.75
copan,2005-03-24,30.81,14.75,271.25
comayagua,2005-03-25,30.75,14.25,272.25
ocotepeque,2005-03-25,32.592,14.25,270.75
copan,2005-03-25,31.217,14.75,271.25
comayagua,2005-03-26,31.171,14.25,272.25
ocotepeque,2005-03-26,33.297,14.25,270.75
copan,2005-03-26,31.125,14.75,271.25
comayagua,2005-03-27,31.147,14.25,272.25
ocotepeque,2005-03-27,33.678,14.25,270.75
copan,2005-03-27,31.405,14.75,271.25
comayagua,2005-03-28,28.721,14.25,272.25
ocotepeque,2005-03-28,31.993,14.25,270.75
copan,2005-03-28,25.593,14.75,271.25
comayagua,2005-03-29,24.388,14.25,272.25
ocotepeque,2005-03-29,25.093,14.25,270.75
copan,2005-03-29,22.594,14.75,271.25
comayagua,2005-03-30,24.917,14.25,272.25
ocotepeque,2005-03-30,29.789,14.25,270.75
copan,2005-03-30,25.969,14.75,271.25
comayagua,2005-03-31,28.045,14.25,272.25
ocotepeque,2005-03-31,31.31,14.25,270.75
copan,2005-03-31,27.72,14.75,271.25
comayagua,2005-04-01,29.197,14.25,272.25
ocotepeque,2005-04-01,32.94,14.25,270.75
copan,2005-04-01,29.915,14.75,271.25
comayagua,2005-04-02,29.052,14.25,272.25
ocotepeque,2005-04-02,30.97,14.25,270.75
copan,2005-04-02,28.662,14.75,271.25
comayagua,2005-04-03,30.07,14.25,272.25
ocotepeque,2005-04-03,30.44,14.25,270.75
copan,2005-04-03,28.765,14.75,271.25
