town,date,precip_mm,grid_lat,grid_lon
comayagua,2005-03-05,0.603,14.25,272.25
ocotepeque,2005-03-05,0.03,14.25,270.75
copan,2005-03-05,0.081,14.75,271.25
comayagua,2005-03-06,0.0,14.25,272.25
ocotepeque,2005-03-06,0.0,14.25,270.75
copan,2005-03-06,0.0,14.75,271.25
comayagua,2005-03-07,0.0,14.25,272.25
ocotepeque,2005-03-07,0.0,14.25,270.75
copan,2005-03-07,0.0,14.75,271.25
comayagua,2005-03-08,0.0,14.25,272.25
ocotepeque,2005-03-08,0.0,14.25,270.75
copan,2005-03-08,0.0,14.75,271.25
comayagua,2005-03-09,0.0,14.25,272.25
ocotepeque,2005-03-09,0.0,14.25,270.75
copan,2005-03-09,0.0,14.75,271.25
comayagua,2005-03-10,3.471,14.25,272.25
ocotepeque,2005-03-10,1.616,14.25,270.75
copan,2005-03-10,8.296,14.75,271.25
comayagua,2005-03-11,0.0,14.25,272.25
ocotepeque,2005-03-11,0.0,14.25,270.75
copan,2005-03-11,0.0,14.75,271.25
comayagua,2005-03-12,0.0,14.25,272.25
ocotepeque,2005-03-12,0.0,14.25,270.75
copan,2005-03-12,0.0,14.75,271.25
comayagua,2005-03-13,0.0,14.25,272.25
ocotepeque,2005-03-13,0.0,14.25,270.75
copan,2005-03-13,0.0,14.75,271.25
comayagua,2005-03-14,0.0,14.25,272.25
ocotepeque,2005-03-14,0.0,14.25,270.75
copan,2005-03-14,0.0,14.75,271.25
comayagua,2005-03-15,0.309,14.25,272.25
ocotepeque,2005-03-15,0.0,14.25,270.75
copan,2005-03-15,0.0,14.75,271.25
comayagua,2005-03-16,0.0,14.25,272.25
ocotepeque,2005-03-16,0.0,14.25,270.75
copan,2005-03-16,0.0,14.75,271.25
comayagua,2005-03-17,0.071,14.25,272.25
ocotepeque,2005-03-17,0.0,14.25,270.75
copan,2005-03-17,0.0,14.75,271.25
comayagua,2005-03-18,0.238,14.25,272.25
ocotepeque,2005-03-18,0.0,14.25,270.75
copan,2005-03-18,0.043,14.75,271.25
comayagua,2005-03-19,1.719,14.25,272.25
ocotepeque,2005-03-19,11.936,14.25,270.75
copan,2005-03-19,6.402,14.75,271.25
comayagua,2005-03-20,0.183,14.25,272.25
ocotepeque,2005-03-20,0.0,14.25,270.75
copan,2005-03-20,0.0,14.75,271.25
comayagua,2005-03-21,0.0,14.25,272.25
ocotepeque,2005-03-21,0.0,14.25,270.75
copan,2005-03-21,0.0,14.75,271.25
comayagua,2005-03-22,0.058,14.25,272.25
ocotepeque,2005-03-22,0.0,14.25,270.75
copan,2005-03-22,0.024,14.75,271.25
comayagua,2005-03-23,0.0,14.25,272.25
ocotepeque,2005-03-23,0.0,14.25,270.75
copan,2005-03-23,0.0,14.75,271.25
comayagua,2005-03-24,2.142,14.25,272.25
ocotepeque,2005-03-24,0.0,14.25,270.75
copan,2005-03-24,0.063,14.75,271.25
comayagua,2005-03-25,0.086,14.25,272.25
ocotepeque,2005-03-25,0.0,14.25,270.75
copan,2005-03-25,0.037,14.75,271.25
comayagua,2005-03-26,0.0,14.25,272.25
ocotepeque,2005-03-26,0.0,14.25,270.75
copan,2005-03-26,0.0,14.75,271.25
comayagua,2005-03-27,0.163,14.25,272.25
ocotepeque,2005-03-27,0.0,14.25,270.75
copan,2005-03-27,0.0,14.75,271.25
comayagua,2005-03-28,0.0,14.25,272.25
ocotepeque,2005-03-28,0.0,14.25,270.75
copan,2005-03-28,0.0,14.75,271.25
comayagua,2005-03-29,0.0,14.25,272.25
ocotepeque,2005-03-29,0.133,14.25,270.75
copan,2005-03-29,0.021,14.75,271.25
comayagua,2005-03-30,0.323,14.25,272.25
ocotepeque,2005-03-30,0.0,14.25,270.75
copan,2005-03-30,0.0,14.75,271.25
comayagua,2005-03-31,0.0,14.25,272.25
ocotepeque,2005-03-31,0.0,14.25,270.75
copan,2005-03-31,0.0,14.75,271.25
comayagua,2005-04-01,0.0,14.25,272.25
ocotepeque,2005-04-01,0.0,14.25,270.75
copan,2005-04-01,0.0,14.75,271.25
comayagua,2005-04-02,0.0,14.25,272.25
ocotepeque,2005-04-02,0.0,14.25,270.75
copan,2005-04-02,0.0,14.75,271.25
comayagua,2005-04-03,0.0,14.25,272.25
ocotepeque,2005-04-03,0.0,14.25,270.75
copan,2005-04-03,0.0,14.75,271.25
comayagua,2005-04-04,0.0,14.25,272.25
ocotepeque,2005-04-04,0.0,14.25,270.75
copan,2005-04-04,0.0,14.75,271.25
comayagua,2005-04-05,0.0,14.25,272.25
ocotepeque,2005-04-05,0.0,14.25,270.75
copan,2005-04-05,0.0,14.75,271.25
comayagua,2005-04-06,0.029,14.25,272.25
ocotepeque,2005-04-06,0.0,14.25,270.75
copan,2005-04-06,0.0,14.75,271.25
comayagua,2005-04-07,4.398,14.25,272.25
ocotepeque,2005-04-07,0.0,14.25,270.75
copan,2005-04-07,0.135,14.75,271.25
comayagua,2005-04-08,0.681,14.25,272.25
ocotepeque,2005-04-08,0.0,14.25,270.75
copan,2005-04-08,0.0,14.75,271.25
comayagua,2005-04-09,0.0,14.25,272.25
ocotepeque,2005-04-09,0.037,14.25,270.75
copan,2005-04-09,0.0,14.75,271.25
comayagua,2005-04-10,1.112,14.25,272.25
ocotepeque,2005-04-10,0.0,14.25,270.75
copan,2005-04-10,0.035,14.75,271.25
comayagua,2005-04-11,0.252,14.25,272.25
ocotepeque,2005-04-11,4.953,14.25,270.75
copan,2005-04-11,25.307,14.75,271.25
comayagua,2005-04-12,0.0,14.25,272.25
ocotepeque,2005-04-12,0.0,14.25,270.75
copan,2005-04-12,0.0,14.75,271.25
comayagua,2005-04-13,0.46,14.25,272.25
ocotepeque,2005-04-13,0.023,14.25,270.75
copan,2005-04-13,0.0,14.75,271.25
comayagua,2005-04-14,0.0,14.25,272.25
ocotepeque,2005-04-14,0.0,14.25,270.75
copan,2005-04-14,0.0,14.75,271.25
comayagua,2005-04-15,0.093,14.25,272.25
ocotepeque,2005-04-15,0.0,14.25,270.75
copan,2005-04-15,0.314,14.75,271.25
comayagua,2005-04-16,0.049,14.25,272.25
ocotepeque,2005-04-16,0.0,14.25,270.75
copan,2005-04-16,0.0,14.75,271.25
comayagua,2005-04-17,0.0,14.25,272.25
ocotepeque,2005-04-17,0.0,14.25,270.75
copan,2005-04-17,0.0,14.75,271.25
comayagua,2005-04-18,0.0,14.25,272.25
ocotepeque,2005-04-18,0.0,14.25,270.75
copan,2005-04-18,0.035,14.75,271.25
comayagua,2005-04-19,0.0,14.25,272.25
