date,element,value,mflag,qflag,sflag
19820210,PRCP,4.4,,,I
19820211,PRCP,0.3,,,I
19820212,PRCP,0.3,,,I
19820213,PRCP,0.0,,,I
19820214,PRCP,0.0,,,I
19820215,PRCP,4.9,,,I
19820216,PRCP,0.5,,,I
19820217,PRCP,0.0,,,I
19820218,PRCP,0.0,,,I
19820219,PRCP,7.0,,,I
19820220,PRCP,9.2,,,I
19820221,PRCP,0.0,,,I
19820222,PRCP,0.0,,,I
19820223,PRCP,0.0,,,I
19820224,PRCP,0.0,,,I
19820225,PRCP,0.0,,,I
19820226,PRCP,0.0,,,I
19820227,PRCP,0.0,,,I
19820228,PRCP,0.0,,,I
19820301,PRCP,0.7,,,I
19820302,PRCP,1.6,,,I
19820303,PRCP,0.2,,,I
19820304,PRCP,0.0,,,I
19820305,PRCP,0.0,,,I
19820306,PRCP,0.0,,,I
19820307,PRCP,1.0,,,I
19820308,PRCP,1.1,,,I
19820309,PRCP,0.8,,,I
19820310,PRCP,6.7,,,I
19820311,PRCP,0.9,,,I
19820312,PRCP,0.0,,,I
19820313,PRCP,0.0,,,I
19820314,PRCP,2.3,,,I
19820315,PRCP,0.0,,,I
19820316,PRCP,1.6,,,I
19820317,PRCP,1.2,,,I
19820318,PRCP,0.5,,,I
19820319,PRCP,0.0,,,I
19820320,PRCP,0.0,,,I
19820321,PRCP,0.0,,,I
19820322,PRCP,0.0,,,I
19820323,PRCP,0.0,,,I
19820324,PRCP,0.0,,,I
19820325,PRCP,0.0,,,I
19820326,PRCP,0.0,,,I
19820327,PRCP,0.0,,,I
19820328,PRCP,0.0,,,I
19820329,PRCP,0.0,,,I
19820330,PRCP,0.0,,,I
19820331,PRCP,0.0,,,I
19820401,PRCP,0.0,,,I
19820402,PRCP,0.0,,,I
19820403,PRCP,0.0,,,I
19820404,PRCP,0.0,,,I
19820405,PRCP,0.0,,,I
19820406,PRCP,0.0,,,I
19820407,PRCP,0.0,,,I
19820408,PRCP,0.0,,,I
19820409,PRCP,0.0,,,I
19820410,PRCP,0.0,,,I
19820411,PRCP,0.0,,,I
19820412,PRCP,2.5,,,I
19820413,PRCP,1.9,,,I
19820414,PRCP,0.0,,,I
19820415,PRCP,0.0,,,I
19820416,PRCP,0.0,,,I
19820417,PRCP,0.1,,,I
19820418,PRCP,0.0,,,I
19820419,PRCP,0.0,,,I
19820420,PRCP,3.9,,,I
19820421,PRCP,0.0,,,I
19820422,PRCP,0.0,,,I
19820423,PRCP,0.0,,,I
19820424,PRCP,0.0,,,I
19820425,PRCP,0.0,,,I
19820426,PRCP,0.0,,,I
19820427,PRCP,0.0,,,I
19820428,PRCP,0.0,,,I
19820429,PRCP,0.0,,,I
19820430,PRCP,14.2,,,I
19820501,PRCP,0.8,,,I
19820502,PRCP,5.0,,,I
19820503,PRCP,0.5,,,I
19820504,PRCP,0.0,,,I
19820505,PRCP,0.0,,,I
19820506,PRCP,0.0,,,I
19820507,PRCP,0.0,,,I
19820508,PRCP,0.3,,,I
19820509,PRCP,1.2,,,I
19820510,PRCP,0.3,,,I
19820511,PRCP,0.0,,,I
19820512,PRCP,0.0,,,I
19820513,PRCP,0.0,,,I
19820514,PRCP,1.0,,,I
19820515,PRCP,8.2,,,I
19820516,PRCP,0.8,,,I
19820517,PRCP,0.0,,,I
19820518,PRCP,0.0,,,I
19820519,PRCP,24.5,,,I
19820520,PRCP,7.8,,,I
19820521,PRCP,2.2,,,I
19820522,PRCP,9.7,,,I
19820523,PRCP,7.8,,,I
19820524,PRCP,3.5,,,I
19820525,PRCP,0.9,,,I
19820526,PRCP,0.0,,,I
19820527,PRCP,60.7,,,I
19820528,PRCP,9.7,,,I
19820529,PRCP,3.4,,,I
19820530,PRCP,64.2,,,I
19820531,PRCP,6.0,,,I
19820601,PRCP,23.2,,,I
19820602,PRCP,0.0,,,I
19820603,PRCP,20.4,,,I
19820604,PRCP,0.0,,,I
19820605,PRCP,0.0,,,I
19820606,PRCP,5.1,,,I
19820607,PRCP,7.7,,,I
19820608,PRCP,4.2,,,I
19820609,PRCP,0.3,,,I
19820610,PRCP,12.1,,,I
19820611,PRCP,5.5,,,I
19820612,PRCP,13.9,,,I
19820613,PRCP,25.6,,,I
19820614,PRCP,2.1,,,I
19820615,PRCP,0.8,,,I
19820616,PRCP,0.2,,,I
